"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
500001	5	sculpture	彫刻	a work of art made by shaping stone, wood, or metal	We saw a large sculpture in the park.	私たちは公園で大きな彫刻を見ました。	noun	5	2	""[""""彫刻"""",""""絵画"""",""""写真"""",""""建物"""",""""楽器""""]""	""[""""sculpture"""",""""painting"""",""""picture"""",""""statue"""",""""drawing""""]""	""[""""sculpture"""",""""structure"""",""""scripture"""",""""capture"""",""""picture""""]""	""[{""""word"""":""""statue"""",""""note"""":""""立像などの彫像を指すことが多い""""}]""	[]"
500002	5	sustainability	持続可能性	the ability to continue without harming the environment	The company is working on sustainability.	その会社は持続可能性に取り組んでいます。	noun	5	2	""[""""持続可能性"""",""""安全性"""",""""便利さ"""",""""人気"""",""""正確さ""""]""	""[""""sustainability"""",""""safety"""",""""comfort"""",""""success"""",""""quality""""]""	""[""""sustainability"""",""""stability"""",""""ability"""",""""responsibility"""",""""possibility""""]""	[]	[]"
500003	5	competent	有能な	able to do something well	She is competent at her job.	彼女は仕事ができる。	adjective	5	3	""[""""有能な"""",""""親切な"""",""""正直な"""",""""活発な"""",""""慎重な""""]""	""[""""competent"""",""""honest"""",""""active"""",""""careful"""",""""kind""""]""	""[""""competent"""",""""confident"""",""""constant"""",""""company"""",""""comment""""]""	""[{""""word"""":""""capable"""",""""note"""":""""少し一般的な言い方""""},{""""word"""":""""skilled"""",""""note"""":""""技術や経験がある感じ""""}]""	""[{""""word"""":""""incompetent"""",""""note"""":""""能力が足りない""""},{""""word"""":""""unable"""",""""note"""":""""できない""""}]"""
500004	5	in sight	見えて	able to be seen	The island is now in sight.	その島が今見えている。	adjective	5	2	""[""""見えて"""",""""隠れて"""",""""近くに"""",""""遠くに"""",""""静かに""""]""	""[""""in sight"""",""""nearby"""",""""far away"""",""""hidden"""",""""outside""""]""	""[""""in sight"""",""""inside"""",""""insight"""",""""invite"""",""""in time""""]""	""[{""""word"""":""""visible"""",""""note"""":""""見える状態""""}]""	""[{""""word"""":""""out of sight"""",""""note"""":""""見えないところに""""}]"""
500005	5	flexibility	柔軟性	the ability to bend or change easily	Yoga can improve your flexibility.	ヨガは柔軟性を高めることができる。	noun	5	2	""[""""柔軟性"""",""""速さ"""",""""強さ"""",""""正確さ"""",""""人気""""]""	""[""""flexibility"""",""""speed"""",""""strength"""",""""accuracy"""",""""popularity""""]""	""[""""flexibility"""",""""possibility"""",""""activity"""",""""electricity"""",""""responsibility""""]""	[]	""[{""""word"""":""""stiffness"""",""""note"""":""""体などがかたいこと""""}]"""
500006	5	be capable of	～できる	to have the ability to do something	She is capable of solving the problem.	彼女はその問題を解くことができる。	verb	5	3	""[""""～できる"""",""""～を避ける"""",""""～を望む"""",""""～に賛成する"""",""""～を必要とする""""]""	""[""""be capable of"""",""""be afraid of"""",""""be proud of"""",""""be interested in"""",""""be tired of""""]""	""[""""be capable of"""",""""be careful of"""",""""be proud of"""",""""be tired of"""",""""be full of""""]""	""[{""""word"""":""""be able to"""",""""note"""":""""より基本的な表現""""}]""	""[{""""word"""":""""be unable to"""",""""note"""":""""できない""""}]"""
500007	5	judicial	司法の	related to judges or courts of law	The case is now in the judicial system.	その事件は今、司法制度の中で扱われている。	adjective	5	2	""[""""司法の"""",""""立法の"""",""""行政の"""",""""医学の"""",""""歴史の""""]""	""[""""judicial"""",""""legislative"""",""""administrative"""",""""medical"""",""""historical""""]""	""[""""judicial"""",""""official"""",""""artificial"""",""""initial"""",""""special""""]""	[]	[]"
500008	5	ecological	生態学の	related to nature and the environment	They are studying ecological problems.	彼らは生態学上の問題を研究している。	adjective	5	2	""[""""生態学の"""",""""経済の"""",""""文化の"""",""""政治の"""",""""伝統的な""""]""	""[""""ecological"""",""""economic"""",""""cultural"""",""""political"""",""""traditional""""]""	""[""""ecological"""",""""economic"""",""""electronic"""",""""logical"""",""""local""""]""	""[{""""word"""":""""environmental"""",""""note"""":""""環境に関する意味で近い""""}]""	[]"
500009	5	regarding	〜に関して	about a subject or topic	I have a question regarding the schedule.	私は予定に関して質問があります。	preposition	5	3	""[""""〜に関して"""",""""〜の前に"""",""""〜の後で"""",""""〜の代わりに"""",""""〜のおかげで""""]""	""[""""regarding"""",""""before"""",""""after"""",""""instead of"""",""""because of""""]""	""[""""regarding"""",""""recording"""",""""rewarding"""",""""reading"""",""""garden""""]""	""[{""""word"""":""""about"""",""""note"""":""""より基本的な語""""},{""""word"""":""""concerning"""",""""note"""":""""ややかたい表現""""}]""	[]"
500010	5	with regard to	〜に関して	about a subject or matter	Please call me with regard to your order.	あなたの注文に関して私に電話してください。	preposition	5	2	""[""""〜に関して"""",""""〜の前に"""",""""〜の後で"""",""""〜の代わりに"""",""""〜と一緒に""""]""	""[""""with regard to"""",""""before"""",""""after"""",""""instead of"""",""""with""""]""	""[""""with regard to"""",""""with a card too"""",""""with a guard dog"""",""""with regard for"""",""""without you""""]""	""[{""""word"""":""""about"""",""""note"""":""""より基本的な語""""},{""""word"""":""""concerning"""",""""note"""":""""ややかたい表現""""}]""	[]"
