english	japanese	quiz_mode	source_word_id	source_word	scope	evidence	confidence	lookup_key
be exhausted from	～で疲れ果てている				COMMON	Hand-picked (Existing)	HIGH	be exhausted from_COMMON_0
be afraid of	～を恐れている				COMMON	Hand-picked (Existing)	HIGH	be afraid of_COMMON_0
be interested in	～に興味がある				COMMON	Hand-picked (Existing)	HIGH	be interested in_COMMON_0
be good at	～が得意だ				COMMON	Distractor Frequency	HIGH	be good at_COMMON_0
look forward to	～を楽しみに待つ				COMMON	Hand-picked (Existing)	HIGH	look forward to_COMMON_0
at once	すぐに				COMMON	Distractor Frequency	HIGH	at once_COMMON_0
for example	例えば				COMMON	Distractor Frequency	HIGH	for example_COMMON_0
by myself	自分で				COMMON	Distractor Frequency	HIGH	by myself_COMMON_0
above	～の上に				COMMON	Distractor Frequency	HIGH	above_COMMON_0
below	～の下に				COMMON	Distractor Frequency	HIGH	below_COMMON_0
ignore	～を無視する				COMMON	Distractor Frequency	HIGH	ignore_COMMON_0
reject	～を拒絶する				COMMON	Distractor Frequency	HIGH	reject_COMMON_0
calm	穏やかな				COMMON	Distractor Frequency	HIGH	calm_COMMON_0
quiz	小テスト				COMMON	Distractor Frequency	HIGH	quiz_COMMON_0
A after B	AのあとでB				COMMON	Distractor Frequency	HIGH	a after b_COMMON_0
A before B	Aの前にB				COMMON	Distractor Frequency	HIGH	a before b_COMMON_0
A big room.	大きな部屋ですね				COMMON	Distractor Frequency	HIGH	a big room._COMMON_0
a bottle of ~	ボトル1本の～				COMMON	Distractor Frequency	HIGH	a bottle of ~_COMMON_0
a box of ~	一箱の～				COMMON	Distractor Frequency	HIGH	a box of ~_COMMON_0
a can of ~	一缶の～				COMMON	Distractor Frequency	HIGH	a can of ~_COMMON_0
A fast train.	速い電車ですね				COMMON	Distractor Frequency	HIGH	a fast train._COMMON_0
a little ~	少しの				COMMON	Distractor Frequency	HIGH	a little ~_COMMON_0
A little expensive.	少し高い				COMMON	Distractor Frequency	HIGH	a little expensive._COMMON_0
A long vacation.	長い休みですね				COMMON	Distractor Frequency	HIGH	a long vacation._COMMON_0
a piece of ~	一切れの～				COMMON	Distractor Frequency	HIGH	a piece of ~_COMMON_0
a plate of ~	一皿の～				COMMON	Distractor Frequency	HIGH	a plate of ~_COMMON_0
about ~	～ごろ				COMMON	Distractor Frequency	HIGH	about ~_COMMON_0
above ~	～の上に				COMMON	Distractor Frequency	HIGH	above ~_COMMON_0
add A to B	AとBを足す				COMMON	Distractor Frequency	HIGH	add a to b_COMMON_0
adults	大人たち				COMMON	Distractor Frequency	HIGH	adults_COMMON_0
African	アフリカの				COMMON	Distractor Frequency	HIGH	african_COMMON_0
after	～のあとに				COMMON	Distractor Frequency	HIGH	after_COMMON_0
after lunch	昼食後に				COMMON	Distractor Frequency	HIGH	after lunch_COMMON_0
after that	そのあとで				COMMON	Distractor Frequency	HIGH	after that_COMMON_0
agree	同意する				COMMON	Distractor Frequency	HIGH	agree_COMMON_0
all ~	すべての～				COMMON	Distractor Frequency	HIGH	all ~_COMMON_0
all night	一晩中				COMMON	Distractor Frequency	HIGH	all night_COMMON_0
all of ~	全部				COMMON	Distractor Frequency	HIGH	all of ~_COMMON_0
all week	一週間中				COMMON	Distractor Frequency	HIGH	all week_COMMON_0
ally	味方				COMMON	Distractor Frequency	HIGH	ally_COMMON_0
almost	まったく				COMMON	Distractor Frequency	HIGH	almost_COMMON_0
although ~	～だけれども				COMMON	Distractor Frequency	HIGH	although ~_COMMON_0
am	〜している				COMMON	Distractor Frequency	HIGH	am_COMMON_0
anger	怒り				COMMON	Distractor Frequency	HIGH	anger_COMMON_0
ankle	足首				COMMON	Distractor Frequency	HIGH	ankle_COMMON_0
answer ~	～に答える				COMMON	Distractor Frequency	HIGH	answer ~_COMMON_0
answer the phone	電話に出る				COMMON	Distractor Frequency	HIGH	answer the phone_COMMON_0
ant	あり				COMMON	Distractor Frequency	HIGH	ant_COMMON_0
apologize	謝る				COMMON	Distractor Frequency	HIGH	apologize_COMMON_0
apple juice	りんごジュース				COMMON	Distractor Frequency	HIGH	apple juice_COMMON_0
Are we ~?	〜していますか				COMMON	Distractor Frequency	HIGH	are we ~?_COMMON_0
Are you fine?	元気ですか				COMMON	Distractor Frequency	HIGH	are you fine?_COMMON_0
Are you going to the station?	駅に行きますか				COMMON	Distractor Frequency	HIGH	are you going to the station?_COMMON_0
Are you happy?	元気ですか				COMMON	Manual Analysis	HIGH	are you happy?_COMMON_0
Are you okay?	大丈夫ですか				COMMON	Distractor Frequency	HIGH	are you okay?_COMMON_0
Are you ready?	準備はいいですか				COMMON	Manual Analysis	HIGH	are you ready?_COMMON_0
Are you sleepy?	眠いですか				COMMON	Manual Analysis	HIGH	are you sleepy?_COMMON_0
arm	腕				COMMON	Distractor Frequency	HIGH	arm_COMMON_0
around the town	町中で				COMMON	Distractor Frequency	HIGH	around the town_COMMON_0
