ano,grade,word,japanese,english,pos,category,actors
1,5,I,私,a word for me,pronoun,word,-
2,5,my,私の,a word for something of me,pronoun,word,-
3,5,me,私を,a word for the person speaking,pronoun,word,-
4,5,mine,私のもの,a word for something that is mine,pronoun,word,-
5,5,you,あなた・あなたたち,a word for the person you speak to,pronoun,word,-
6,5,your,あなたの,a word for something of you,pronoun,word,-
7,5,yours,あなたのもの,a word for something that is yours,pronoun,word,-
8,5,he,彼,a word for a man or boy,pronoun,word,-
9,5,his,彼の・彼のもの,a word for something of him,pronoun,word,-
10,5,him,彼を,a word for a man or boy,pronoun,word,-
11,5,she,彼女,a word for a woman or girl,pronoun,word,-
12,5,her,彼女の・彼女を,a word for a woman or girl,pronoun,word,-
13,5,hers,彼女のもの,a word for something that is hers,pronoun,word,-
14,5,it,それ,a word for a thing or animal,pronoun,word,-
15,5,its,それの,a word for something of it,pronoun,word,-
16,5,they,彼ら・それら,a word for more than one person or thing,pronoun,word,-
17,5,their,彼らの・それらの,a word for something of them,pronoun,word,-
18,5,them,彼らを・それらを,a word for people or things as the object,pronoun,word,-
19,5,theirs,彼らのもの・それらのもの,a word for something that is theirs,pronoun,word,-
20,5,we,私たち,a word for me and other people,pronoun,word,-
21,5,our,私たちの,a word for something of us,pronoun,word,-
22,5,us,私たちを,a word for me and other people as the object,pronoun,word,-
23,5,ours,私たちのもの,a word for something that is ours,pronoun,word,-
24,5,what,何,a word to ask about a thing,pronoun,word,-
25,5,what color,何色,a phrase to ask about color,phrase,phrase,-
26,5,what sports,何のスポーツ,a phrase to ask about sports,phrase,phrase,-
27,5,what food,何の食べ物,a phrase to ask about food,phrase,phrase,-
28,5,what drink,何の飲み物,a phrase to ask about a drink,phrase,phrase,-
29,5,what animal,何の動物,a phrase to ask about an animal,phrase,phrase,-
30,5,what subject,何の科目,a phrase to ask about a school subject,phrase,phrase,-
31,5,what time,何時,a phrase to ask about time,phrase,phrase,-
32,5,What day is it today?,今日は何曜日,a question to ask the day name,phrase,phrase,-
33,5,What's the date today,今日は何月何日?,a question to ask the date,phrase,phrase,-
34,5,What's your favorite A,あなたの好きなAは,a question to ask what you like best,phrase,phrase,A
35,5,where,どこ,a word to ask about a place,adverb,word,-
36,5,when,いつ,a word to ask about time,adverb,word,-
37,5,who,誰,a word to ask about a person,pronoun,word,-
38,5,whose,誰の,a word to ask about who has something,pronoun,word,-
39,5,which,どちらの,a word to ask about one of two or more,pronoun,word,-
40,5,how,どうやって,a word to ask about the way to do something,adverb,word,-
41,5,How do you get to A,どうやってAへ行く,a question to ask the way to go to a place,phrase,phrase,-
42,5,How are you,元気ですか,a question to ask about a person,phrase,phrase,-
43,5,how old,何歳,a phrase to ask about age,phrase,phrase,-
44,5,how much,いくら,a phrase to ask about price,phrase,phrase,-
45,5,How many,いくつ,a phrase to ask about number,phrase,phrase,-
46,5,How about A,Aはどうですか,a phrase to make a suggestion,phrase,phrase,A
47,5,how tall,どのくらい高い,a phrase to ask about height,phrase,phrase,-
48,5,how long,どのくらい長い,a phrase to ask about length or time,phrase,phrase,-
49,5,one o'clock,1時,time at one,phrase,phrase,-
50,5,two o'clock,2時,time at two,phrase,phrase,-
51,5,three o'clock,3時,time at three,phrase,phrase,-
52,5,four o'clock,4時,time at four,phrase,phrase,-
53,5,five o'clock,5時,time at five,phrase,phrase,-
54,5,six o'clock,6時,time at six,phrase,phrase,-
55,5,seven o'clock,7時,time at seven,phrase,phrase,-
56,5,eight o'clock,8時,time at eight,phrase,phrase,-
57,5,nine o'clock,9時,time at nine,phrase,phrase,-
58,5,ten o'clock,10時,time at ten,phrase,phrase,-
59,5,eleven o'clock,11時,time at eleven,phrase,phrase,-
60,5,twelve o'clock,12時,time at twelve,phrase,phrase,-
61,5,second,秒,a very short time,noun,word,-
62,5,minute,分,60 seconds,noun,word,-
63,5,hour,時間,60 minutes,noun,word,-
64,5,day,日,24 hours,noun,word,-
65,5,week,週,seven days,noun,word,-
66,5,month,月,about four weeks,noun,word,-
67,5,year,年,12 months,noun,word,-
68,5,today,今日,this day,adverb,word,-
69,5,yesterday,昨日,the day before today,adverb,word,-
70,5,tomorrow,明日,the day after today,adverb,word,-
71,5,weekend,週末,Saturday and Sunday,noun,word,-
72,5,morning,朝・午前,early part of the day,noun,word,-
73,5,afternoon,午後,part of the day after noon,noun,word,-
74,5,evening,夕方・夜,part of the day after afternoon,noun,word,-
75,5,night,夜,when it is dark,noun,word,-
76,5,midnight,深夜,12 o'clock at night,noun,word,-
77,5,noon,正午,12 o'clock in the day,noun,word,-
78,5,this morning,今朝,at morning today,phrase,phrase,-
79,5,last night,昨夜,at night yesterday,phrase,phrase,-
80,5,tonight,今晩,this night,adverb,word,-
81,5,birthday,誕生日,the day you were born,noun,word,-
82,5,Monday,月曜日,the first day of the school week,noun,word,-
83,5,Tuesday,火曜日,the day after Monday,noun,word,-
84,5,Wednesday,水曜日,the day after Tuesday,noun,word,-
85,5,Thursday,木曜日,the day after Wednesday,noun,word,-
86,5,Friday,金曜日,the day after Thursday,noun,word,-
87,5,Saturday,土曜日,the day before Sunday,noun,word,-
88,5,Sunday,日曜日,the day after Saturday,noun,word,-
89,5,January,1月,the first month,noun,word,-
90,5,February,2月,the month after January,noun,word,-
91,5,March,3月,the month after February,noun,word,-
92,5,April,4月,the month after March,noun,word,-
93,5,May,5月,the month after April,noun,word,-
94,5,June,6月,the month after May,noun,word,-
