"English","Japanese","AllMeanings"
"A after B","AのあとでB","AのあとでB(1)"
"A before B","Aの前にB","Aの前にB(1)"
"A big room.","大きな部屋ですね","大きな部屋ですね(1)"
"a bottle of ~","ボトル1本の～","ボトル1本の～(2)"
"a box of ~","一箱の～","一箱の～(2)"
"a can of ~","一缶の～","一缶の～(1)"
"A fast train.","速い電車ですね","速い電車ですね(1)"
"a little ~","少しの","少しの(1)"
"A little expensive.","少し高い","少し高い(1)"
"A long vacation.","長い休みですね","長い休みですね(1)"
"a piece of ~","一切れの～","一切れの～(2)"
"a plate of ~","一皿の～","一皿の～(1)"
"about ~","～ごろ","～ごろ(1)"
"above","～の上に","～の上に(1)"
"above ~","～の上に","～の上に(1), 〜の上に(1)"
"add A to B","AとBを足す","AとBを足す(2)"
"adults","大人たち","大人たち(1)"
"African","アフリカの","アフリカの(1)"
"after","～のあとに","～のあとに(2), 〜した後で(1), そのあとで(1), ～のあとで(1), 〜の後に(1), 〜の後で(1)"
"after lunch","昼食後に","昼食後に(1)"
"after that","そのあとで","そのあとで(2)"
"agree","同意する","同意する(1)"
"all ~","すべての～","すべての～(2)"
"all night","一晩中","一晩中(1)"
"all of ~","全部","全部(1)"
"all week","一週間中","一週間中(1)"
"ally","味方","味方(1)"
"almost","まったく","まったく(1)"
"although ~","～だけれども","～だけれども(1)"
"am","〜している","〜している(1)"
"anger","怒り","怒り(3)"
"ankle","足首","足首(1)"
"answer ~","～に答える","～に答える(1)"
"answer the phone","電話に出る","電話に出る(1)"
"ant","あり","あり(1)"
"apologize","謝る","謝る(1)"
"apple juice","りんごジュース","りんごジュース(1)"
"Are we ~?","〜していますか","〜していますか(1)"
"Are you fine?","元気ですか","元気ですか(1)"
"Are you going to the station?","駅に行きますか","駅に行きますか(1)"
"Are you happy?","元気ですか","元気ですか(1)"
"Are you okay?","大丈夫ですか","大丈夫ですか(1)"
"Are you ready?","準備はいいですか","準備はいいですか(2), 準備はいいですか？(1)"
"Are you sleepy?","眠いですか","眠いですか(1)"
"arm","腕","腕(9)"
"around the town","町中で","町中で(1)"
"as ... as","～と同じくらい","～と同じくらい(1)"
"Asian","アジアの","アジアの(1)"
"ask ~","～を質問する","～を質問する(1)"
"ask A","Aをたずねる","Aをたずねる(1)"
"ask A about B","AにBを尋ねる","AにBを尋ねる(2)"
"ask a question","質問する","質問する(1)"
"ask A to do","Aに～するよう頼む","Aに～するよう頼む(1)"
"ask the way","道をたずねる","道をたずねる(1)"
"at a store","店で","店で(1)"
"at lunch","昼休みに","昼休みに(1)"
"at night","夜に","夜に(2)"
"at noon","正午に","正午に(1)"
"at the beginning of ~","〜の初めに","〜の初めに(1)"
"at the library","図書館で","図書館で(1)"
"at the park","公園で","公園で(3)"
"at the store","店で","店で(3), 店に(1)"
"attack A with B","AをBで攻撃する","AをBで攻撃する(1)"
"B after A","AのあとでB","AのあとでB(1)"
"B before A","Aの前にB","Aの前にB(1)"
"B during A","Aの間にB","Aの間にB(1)"
"B for A","AのためにB","AのためにB(1)"
"babies","赤ちゃんたち","赤ちゃんたち(1)"
"balloon","風船","風船(1)"
"basketball game","バスケットボールの試合","バスケットボールの試合(1)"
"be absent from","〜を休む","〜を休む(1)"
"be boring","おもしろくない","おもしろくない(1)"
"be busy","たいへんな","たいへんな(1)"
"be careful","気をつけて","気をつけて(1)"
"be careful with ~","～に気をつける","～に気をつける(1)"
"Be careful.","気をつけて","気をつけて(6), 気をつけてください(4), 気をつけて。(1)"
"be close to ~","～に近い","～に近い(1)"
"be connected to ~","〜につながっている","〜につながっている(1)"
"be doing","今～している","今～している(1)"
"be easy","やさしい","やさしい(1)"
"be far from ~","〜から離れている","〜から離れている(1), ～から遠い(1)"
"be going to do","～するつもりだ","～するつもりだ(2), 〜するつもりだ(1)"
"be hard","むずかしい","むずかしい(1)"
"be hungry","おなかがすいている","おなかがすいている(1)"
"be in a good mood","機嫌がよい","機嫌がよい(1)"
"be in a hurry","急いでいる","急いでいる(1)"
"be in front of ~","～の前にある","～の前にある(1)"
"be on time for","〜に間に合う","〜に間に合う(1)"
"be on time for ~","～に間に合う","～に間に合う(1)"
"be ready","準備ができている","準備ができている(1)"
"be satisfied with ~","～に満足している","～に満足している(4)"
"be similar to ~","～に似ている","～に似ている(1)"
"be sure that ~","～ということを確信している","～ということを確信している(1)"
"be surrounded by ~","〜で囲まれている","〜で囲まれている(1)"
"be the same as ~","～と同じである","～と同じである(1)"
"be tired","疲れている","疲れている(1)"
"be worried that ~","～ということを心配している","～ということを心配している(1)"
"beard","ひげ","ひげ(1)"
"because ~","～なので","～なので(1)"
"bee","はち","はち(1)"
"before","〜の前に","〜の前に(4), ～の前に(3), 〜する前に(1), その前に(1), 前に(1)"
"before breakfast","朝食前に","朝食前に(1)"
"before school","登校前に","登校前に(1)"
"begin ~","～を始める","～を始める(2)"
"behind ~","〜の後ろに","〜の後ろに(4), ～の後ろに(3)"
"behind the station","駅の後ろに","駅の後ろに(1)"
"behind you","あなたの後ろに","あなたの後ろに(3)"
"Beijing","北京","北京(1)"
"believe ~","～を信じる","～を信じる(2)"
"believe A","Aを信じる","Aを信じる(1)"
"below ~","～の下に","～の下に(1)"
"between ~","〜の間に","〜の間に(2)"
"birdhouse","鳥小屋","鳥小屋(1)"
"body","体","体(1)"
"bookshelf","本だな","本だな(1)"
"boots","長靴","長靴(1), ブーツ(1)"
"borrow ~","～を借りる","～を借りる(1), 借りる(1)"
"borrow A","Aを借りる","Aを借りる(1)"
"borrow B from A","AからBを借りる","AからBを借りる(2)"
"borrow from ~","～から借りる","～から借りる(1)"
"boss","上司","上司(1)"
"bow","おじぎする","おじぎする(1)"
"bracelet","ブレスレット","ブレスレット(1)"
"break ~","～を壊す","～を壊す(2)"
"bring back ~","～を持ち帰る","～を持ち帰る(1)"
"brothers","兄弟","兄弟(2)"
